field1,field2
1.39080876,1.1974295
1.29487435,1.19775442
1.49740262,1.30237798
0.65051787,1.00460935
1.07807684,0.58442236
1.18259848,0.82107174
1.21701924,1.44056969
0.99499536,0.71225803
0.80161768,0.56054247
0.67702382,1.3009035
5.49482588,5.44584753
5.47683882,5.408807
5.43988704,5.4221159
5.49709822,5.45061113
5.48513972,5.48810633
5.4205895,5.4846828
5.44853443,5.4017957
5.46667551,5.46100313
5.44246988,5.45905491
5.44735158,5.46226437
3.30646659,3.5563691
3.02328948,3.78882544
3.71199165,3.08475477
3.3152504,3.07635641
3.81260422,3.74598237
3.57650922,3.38543256
3.66950306,3.73714519
3.49615472,3.02012612
3.06106733,3.8572852
3.93847104,3.84530988
